effect_size_id,study_id,reference,es,weight,sample_size,se,var,ci_lo,ci_hi,higher_group_n,lower_group_n,cognitive_level,stimuli,response,subgroup,age_group,design,year,effect_size_type,rob_1_participants,rob_2_confounding,rob_3_measurment,rob_4_blinding,rob_5_incomplete,rob_6_selective
1,1,Alarcón et al. (2017),1.2956662317486105,4.897557867445922,24,0.45186656936999675,0.2041833965142101,0.41002402996574716,2.181308433531474,12,12,Higher cognitive functions,General,General,Higher cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
2,1,Alarcón et al. (2017),1.8388188535672283,3.7542241895665116,22,0.5161071767019042,0.2663666178432106,0.8272673750688466,2.85037033206561,12,10,Higher cognitive functions,General,General,Higher cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
3,1,Alarcón et al. (2017),0.4519870682860654,5.309261054052344,22,0.43399323516210336,0.18835012816646876,-0.39862404216567926,1.30259817873781,12,10,Higher cognitive functions,General,General,Higher cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
4,1,Alarcón et al. (2017),0.024107931975733445,5.999532450854525,24,0.4082641977384938,0.16667965515505598,-0.7760751917688532,0.8242910557203201,12,12,Higher cognitive functions,General,General,Higher cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
5,1,Alarcón et al. (2017),-0.4075550277060959,5.3358299674624545,22,0.4329113867468059,0.18741226877504255,-1.2560457542271257,0.44093569881493394,12,10,Higher cognitive functions,General,General,Higher cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
6,1,Alarcón et al. (2017),-0.304588021934275,5.38759500928009,22,0.43082661930650407,0.1856115759030714,-1.1489926793561716,0.5398166354876215,12,10,Higher cognitive functions,General,General,Higher cognitive functions general,Adulthood,Cross-sectional,2017,Mean and Standard Deviation,High risk,High risk,Low risk,Low risk,Unclear risk,Low risk
7,2,Araújo et al. (2005),-0.42696778900050614,5.856832971867676,24,0.4132078662595625,0.17074074073878048,-1.2368403249978919,0.3829047469968796,12,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
8,2,Araújo et al. (2005),-0.22584835927198263,5.700084158595362,23,0.4188508162069371,0.1754360062372174,-1.0467808739327846,0.5950841553888194,12,11,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
9,2,Araújo et al. (2005),-0.2220935279754401,5.701363217250751,23,0.41880383053072473,0.17539664846720798,-1.0429339524030767,0.5987468964521965,11,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
10,2,Araújo et al. (2005),-0.4700516972035088,5.827355514622295,24,0.4142516461180506,0.17160442631151462,-1.2819700041313196,0.34186660972430183,12,12,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
11,2,Araújo et al. (2005),-0.08155675626820337,5.734008398061163,23,0.4176099500147204,0.17439807035129726,-0.9000572178826274,0.7369437053462207,12,11,Decision-making skills,Specific,General,Decision-making skills mixed,Adulthood,Cross-sectional,2005,Mean and Standard Deviation,Unclear risk,High risk,Low risk,Low risk,Low risk,Low risk
