ID,SampleID,ArticleID,Reference, YearPub,PubStatus  (0=published; 1=unpublished),StudyDesign (1=correlational; 2=experiment),WorkSetting (0=student; 1=work),CMV/same-source effect (0=no CMV; 1=CMV),PM.Construct,PM.Measure,PM.Autonomy (1=discretionary; 2=obligatory; 3=unclear),PM.Generality (1=global; 2=contextual; 3=situational; 4=unclear),note.generality,Ipsative (0=normative measure; 1=ipsative measure),DV,DV.Dimension (wb=well-being; pb=prosocial behavior; perf=job performance; career=career success),WB.Generality (1=others; 2=situational),PB.Type (1=affliative; 2=challenging),DV.Objectivity (1=objective; 2=subjective),N,Pct.Female,Country,Individualism.con,Individualistic.bin (1=individualistic culture; 0=collectivist culture),ES_uncorrected,Rxx,Ryy,ES_corrected
1,1,1,"Grant, A. M. (2008). Does intrinsic motivation fuel the prosocial fire? Motivational synergy in predicting persistence, performance, and productivity. Journal of applied psychology, 93(1), 48.",2008,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,performance (calls made),perf,,,1,140,0.507142857,US,91,1,0.08,0.91,1,0.083862787
2,1,1,"Grant, A. M. (2008). Does intrinsic motivation fuel the prosocial fire? Motivational synergy in predicting persistence, performance, and productivity. Journal of applied psychology, 93(1), 48.",2008,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,productivity (dollars raised),perf,,,1,140,0.507142857,US,91,1,0.11,0.91,1,0.115311332
3,1,1,"Grant, A. M. (2008). Does intrinsic motivation fuel the prosocial fire? Motivational synergy in predicting persistence, performance, and productivity. Journal of applied psychology, 93(1), 48.",2008,0,1,1,1,prosocial motivation,Grant (2008),1,2,,0,job satisafaction,wb,2,,2,140,0.507142857,US,91,1,0.36,0.91,0.81,0.419313935
4,2,2,"Grant, A. M., & Berry, J. W. (2011). The necessity of others is the mother of invention: Intrinsic and prosocial motivations, perspective taking, and creativity. Academy of management journal, 54(1), 73-96.",2011,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,creativity,perf,,,2,90,0.222,US,91,1,0.28,0.91,0.97,0.298024157
5,3,2,"Grant, A. M., & Berry, J. W. (2011). The necessity of others is the mother of invention: Intrinsic and prosocial motivations, perspective taking, and creativity. Academy of management journal, 54(1), 73-96.",2011,0,1,1,0,prosocial motivation,Grant & Sumanth (2009),1,2,,0,creativity,perf,,,2,111,0.685,US,91,1,0.1,0.9,0.97,0.107026883
6,4,3,"Grant, A. M., & Mayer, D. M. (2009). Good soldiers and good actors: prosocial and impression management motives as interactive predictors of affiliative citizenship behaviors. Journal of Applied Psychology, 94(4), 900.",2009,0,1,1,0,prosocial motives,Grant (2008),1,3,the authors used Grant’s (2008) prosocial work motivation scale but they changed it to measure “OCB motive”; so it was coded as “3” for the level of generality instead of 2 ,0,interpersonal OCB (combined helping and courtesy),pb,,1,2,114,0.77,US,91,1,0.57,0.94,0.91,0.616297254
7,5,3,"Grant, A. M., & Mayer, D. M. (2009). Good soldiers and good actors: prosocial and impression management motives as interactive predictors of affiliative citizenship behaviors. Journal of Applied Psychology, 94(4), 900.",2009,0,1,1,0,prosocial motives,Grant (2008),1,3,the authors used Grant’s (2008) prosocial work motivation scale but they changed it to measure “OCB motive”; so it was coded as “3” for the level of generality instead of 2 ,0,Initiative,pb,,2,2,167,0.472,US,91,1,0.17,0.89,0.96,0.183915487
8,5,3,"Grant, A. M., & Mayer, D. M. (2009). Good soldiers and good actors: prosocial and impression management motives as interactive predictors of affiliative citizenship behaviors. Journal of Applied Psychology, 94(4), 900.",2009,0,1,1,0,prosocial motives,Grant (2008),1,3,the authors used Grant’s (2008) prosocial work motivation scale but they changed it to measure “OCB motive”; so it was coded as “3” for the level of generality instead of 2 ,0,voice,pb,,2,2,167,0.472,US,91,1,0.21,0.89,0.92,0.232076079
9,6,4,"Grant, A. M., & Rothbard, N. P. (2013). When in doubt, seize the day? Security values, prosocial values, and proactivity under ambiguity. Journal of applied psychology, 98(5), 810.",2013,0,1,1,0,prosocial values,Rioux and Penner’s (2001),1,2,"This scale changed the leading question from ""why do you engage in OCB"" to ""what is important to you at work"", and therefore, should be coded as 2",0,proactivity,pb,,2,2,204,0.299,US,91,1,0.02,0.9,0.92,0.021979349
10,7,5,"Grant, A. M., & Sumanth, J. J. (2009). Mission possible? The performance of prosocially motivated employees depends on manager trustworthiness. Journal of Applied Psychology, 94(4), 927.",2009,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,performance (calls made),perf,,,1,57,0.702,US,91,1,0.03,0.96,1,0.030618622
11,8,5,"Grant, A. M., & Sumanth, J. J. (2009). Mission possible? The performance of prosocially motivated employees depends on manager trustworthiness. Journal of Applied Psychology, 94(4), 927.",2009,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,performance (dollars raised),perf,,,1,102,0.549,US,91,1,0.13,0.93,1,0.13480372
12,9,5,"Grant, A. M., & Sumanth, J. J. (2009). Mission possible? The performance of prosocially motivated employees depends on manager trustworthiness. Journal of Applied Psychology, 94(4), 927.",2009,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,performance (initiative),perf,,,1,75,0.55,US,91,1,-0.05,0.94,1,-0.051571062
13,10,6,"Grant, A. M., & Wrzesniewski, A. (2010). I won’t let you down… or will I? Core self-evaluations, other-orientation, anticipated guilt and gratitude, and job performance. Journal of Applied Psychology, 95(1), 108.",2010,0,1,1,0,prosocial motivation,Grant (2008),1,2,,0,performance (number of contacts),perf,,,1,76,0.67,US,91,1,0.14,0.95,1,0.143636969
14,11,7,"Grant, A. M., Parker, S., & Collins, C. (2009). Getting credit for proactive behavior: Supervisor reactions depend on what you value and how you feel. Personnel Psychology, 62(1), 31-55.",2009,0,1,1,1,prosocial values,Schwartz Value Survey,1,1,,0,negative affect ,wb,2,,2,103,0.379,US,91,1,0.04,0.7,0.8,0.053452248
15,11,7,"Grant, A. M., Parker, S., & Collins, C. (2009). Getting credit for proactive behavior: Supervisor reactions depend on what you value and how you feel. Personnel Psychology, 62(1), 31-55.",2009,0,1,1,0,prosocial values,Schwartz Value Survey,1,1,,0,proactive behavior (composite),pb,,2,2,103,0.379,US,91,1,-0.06,0.7,0.86,-0.077330889
16,11,7,"Grant, A. M., Parker, S., & Collins, C. (2009). Getting credit for proactive behavior: Supervisor reactions depend on what you value and how you feel. Personnel Psychology, 62(1), 31-55.",2009,0,1,1,0,prosocial values,Schwartz Value Survey,1,1,,0,performance,perf,,,2,103,0.379,US,91,1,-0.04,0.7,0.85,-0.051856298
17,12,7,"Grant, A. M., Parker, S., & Collins, C. (2009). Getting credit for proactive behavior: Supervisor reactions depend on what you value and how you feel. Personnel Psychology, 62(1), 31-55.",2009,0,1,1,1,altruism,IPIP,1,1,,0,negative affect ,wb,2,,2,55,0,US,91,1,0.47,0.75,0.89,0.575270658
18,12,7,"Grant, A. M., Parker, S., & Collins, C. (2009). Getting credit for proactive behavior: Supervisor reactions depend on what you value and how you feel. Personnel Psychology, 62(1), 31-55.",2009,0,1,1,1,altruism,IPIP,1,1,,0,helping,pb,,1,2,55,0,US,91,1,0.12,0.75,0.81,0.153960072
