author_year,study_id,esid,theory,narrative-synthesis,Pairs of Groups,DV,n_exp,n_con,sample_size,yi,vi,form_of_cognition,measurment_type,sim_acc,task_team,occupation,pub_type,comparison_group,digital_tech,shuffler_tdi_category,IMO_tdi_category,tdi_mechanism,ROB,n_ind,n_team,t_size,sex,age
Cassidy & Stanley (2019),6,37,role theory,promising,High role clarity / low role clarity,MM similarity Task - team level,52,49,101,0.487163375,0.040521761,Structured,Subjective,Similarity,Task,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Cassidy & Stanley (2019),6,35,role theory,promising,High role clarity / low role clarity,MM task - Individual level,52,49,101,0.470662654,0.04044292,Perceptual,Subjective,Similarity,Task,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Cassidy & Stanley (2019),6,38,role theory,promising,High role clarity / low role clarity,MM similarity Team  - team level,52,49,101,0.227123934,0.039595204,Structured,Subjective,Similarity,Team,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Cassidy & Stanley (2019),6,36,role theory,promising,High role clarity / low role clarity,MM team - Individual level,52,49,101,0.219146622,0.039577446,Perceptual,Subjective,Similarity,Team,University Students,Journal,Active,NO,team building,multicomponent,role clarity ,Some concerns,28.86111111,48.55555556,-1.416666667,0.099,9999
Dallenborg et al. (2009),11,74,none mentioned,effective,Team Strategy Discussion / No Strat Discussion,Shared Mental Models,22,19,46,2.49747308,0.173754486,Perceptual,Subjective,Similarity,Combined,Military Cadets,Journal,No Treatment,NO,team building,multicomponent,strategy planning,Some concerns,10.86111111,-6.444444444,0.583333333,9999,-1.083076923
Putri (2012),28,111,none mentioned,promising,Treatment / Control,Team SMM Degree Overall,30,30,60,0.780707877,0.070946904,Perceptual,Subjective,Similarity,Combined,Course Development Teams,Thesis,No Treatment,NO,team building,multicomponent,strategy planning,Low,-27.13888889,7.555555556,-0.416666667,-0.071,24.38692308
Putri (2012),28,112,none mentioned,promising,Treatment / Control,Team -SMM Similarity Overall,30,30,60,0.406729982,0.067197582,Perceptual,Subjective,Similarity,Combined,Course Development Teams,Thesis,No Treatment,NO,team building,multicomponent,strategy planning,Low,-27.13888889,7.555555556,-0.416666667,-0.071,24.38692308
Rittman (2004),31,120,none mentioned,promising,high interp low intera / Low interp & Interac,Team Role MM's,15,14,66,2.310344955,0.228907301,Perceptual,Subjective,Similarity,Team,University Students,Thesis,Active,NO,team building,multicomponent,role clarity ,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,116,none mentioned,promising,high interpo & interac / Low interp & Interac,Team Role MM's,17,14,66,1.772680266,0.178895617,Perceptual,Subjective,Similarity,Team,University Students,Thesis,Active,NO,team building,multicomponent,interpositional knowledge or training,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,121,none mentioned,promising,high interp low intera / Low interp & Interac,Team interaction MM's,15,14,66,0.939540677,0.149882034,Structured,Subjective,Similarity,Combined,University Students,Thesis,Active,NO,team building,multicomponent,role clarity ,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,117,none mentioned,promising,high interpo & interac / Low interp & Interac,Team interaction MM's,17,14,66,0.901231535,0.140305416,Structured,Subjective,Similarity,Combined,University Students,Thesis,Active,NO,team building,multicomponent,interpositional knowledge or training,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
Rittman (2004),31,119,none mentioned,promising,Low interp high intera /  Low interp & Interac,Team interaction MM's,15,14,66,0.829136274,0.146418198,Structured,Subjective,Similarity,Combined,University Students,Thesis,Active,NO,team building,multicomponent,shaping knowledge,Some concerns,24.86111111,13.55555556,-0.416666667,9999,9999
